"WHEAT-SRW - CHICAGO BOARD OF TRADE",190312,2019-03-12,001602,CBT ,00,001 ,  655148,  117128,  180202,  265343,  220961,  160905,  603433,  606451,   51716,   48698,  324034,  122698,  144084,   89766,   86153,   67582,  298617,  301433,   25417,   22601,  331114,   76091,  117779,   93917,  134808,   93323,  304815,  305018,   26299,   26096,   52186,    -618,   -1299,   41241,   11315,   14202,   51938,   54144,     248,   -1958,  100.0,   17.9,   27.5,   40.5,   33.7,   24.6,   92.1,   92.6,    7.9,    7.4,  100.0,   37.9,   44.5,   27.7,   26.6,   20.9,   92.2,   93.0,    7.8,    7.0,  100.0,   23.0,   35.6,   28.4,   40.7,   28.2,   92.1,   92.1,    7.9,    7.9,    445,    152,    145,    181,    115,    108,    361,    351,    401,    140,    134,     98,     95,     89,    287,    269,    321,     94,    102,     98,     88,     89,    240,    242,    11.2,     9.7,    18.7,    17.1,     6.6,     6.4,    10.6,    11.4,    12.9,    12.0,    23.1,    21.4,    12.2,    11.0,    19.3,    19.3,    13.7,    13.5,    22.8,    23.2,     9.3,    11.4,    15.3,    17.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE",190312,2019-03-12,00160F,CBT ,00,001 ,   14704,    4625,    1199,    1719,    8088,   11670,   14432,   14588,     272,     116,    6139,    3199,     300,     188,    2632,    5551,    6019,    6039,     120,     100,    8565,    1613,    1087,    1343,    5456,    6118,    8413,    8549,     152,      16,    1364,      48,     649,     631,     684,      68,    1362,    1348,       2,      16,  100.0,   31.5,    8.2,   11.7,   55.0,   79.4,   98.1,   99.2,    1.9,    0.8,  100.0,   52.1,    4.9,    3.1,   42.9,   90.4,   98.0,   98.4,    2.0,    1.6,  100.0,   18.8,   12.7,   15.7,   63.7,   71.4,   98.2,   99.8,    1.8,    0.2,     29,      7,      3,      6,     16,     11,     26,     18,     16,      4,      1,      1,      8,      7,     12,      9,     24,      5,      3,      4,     12,      9,     20,     14,    46.3,    57.9,    66.1,    79.2,    38.6,    45.7,    48.4,    57.0,    72.8,    83.9,    90.9,    98.4,    70.9,    78.0,    82.4,    84.5,    41.1,    59.2,    68.4,    86.2,    34.7,    42.8,    50.1,    54.6,"50 Metric Tons","00160F","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",190312,2019-03-12,001612,CBT ,00,001 ,  339359,   79643,  114701,   90461,  134513,  113757,  304617,  318918,   34742,   20441,  171627,   69857,   85989,   19518,   63619,   56720,  152993,  162227,   18633,    9400,  167733,   47577,   66502,   33153,   70894,   57037,  151624,  156692,   16109,   11041,   18499,   -3829,   -1167,   13805,    9397,    5918,   19373,   18555,    -874,     -56,  100.0,   23.5,   33.8,   26.7,   39.6,   33.5,   89.8,   94.0,   10.2,    6.0,  100.0,   40.7,   50.1,   11.4,   37.1,   33.0,   89.1,   94.5,   10.9,    5.5,  100.0,   28.4,   39.6,   19.8,   42.3,   34.0,   90.4,   93.4,    9.6,    6.6,    280,     86,     61,     79,    103,     89,    227,    197,    256,     77,     58,     38,     84,     67,    179,    145,    222,     58,     53,     47,     78,     78,    163,    152,    12.4,    16.6,    21.2,    27.6,     9.4,    15.3,    15.6,    24.4,    19.6,    25.6,    28.6,    39.7,    19.6,    25.5,    28.5,    39.5,    14.4,    18.8,    24.4,    30.5,    12.3,    17.5,    20.5,    27.1,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",190312,2019-03-12,001626,MGE ,00,001 ,   64529,   12001,   18355,    4475,   36792,   31867,   53268,   54698,   11261,    9831,   47886,   13035,   16884,    2356,   23259,   22871,   38650,   42111,    9236,    5775,   16643,     727,    3232,     358,   13533,    8997,   14619,   12587,    2024,    4056,    3046,     921,     762,    1090,      81,    1186,    2092,    3038,     955,       8,  100.0,   18.6,   28.4,    6.9,   57.0,   49.4,   82.5,   84.8,   17.5,   15.2,  100.0,   27.2,   35.3,    4.9,   48.6,   47.8,   80.7,   87.9,   19.3,   12.1,  100.0,    4.4,   19.4,    2.2,   81.3,   54.1,   87.8,   75.6,   12.2,   24.4,     91,     18,     15,     11,     53,     31,     75,     54,     91,     19,     15,      7,     49,     27,     71,     46,     55,      3,     11,      3,     27,     26,     31,     39,    22.2,    28.8,    32.9,    47.7,    19.5,    28.5,    28.1,    42.7,    22.8,    35.1,    33.9,    56.6,    22.8,    34.9,    33.3,    53.9,    40.4,    30.1,    57.5,    44.2,    35.5,    27.3,    52.2,    40.1,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",190312,2019-03-12,002602,CBT ,00,002 , 2150365,  323836,  516311,  678564,  878377,  743341, 1880777, 1938216,  269588,  212150, 1664818,  308319,  576639,  457012,  692992,  495956, 1458323, 1529607,  206495,  135211,  485548,  163756,   87911,   73313,  185385,  247385,  422455,  408609,   63093,   76939,  138970,   -7507,   71007,   82101,   51692,   -9560,  126286,  143548,   12684,   -4578,  100.0,   15.1,   24.0,   31.6,   40.8,   34.6,   87.5,   90.1,   12.5,    9.9,  100.0,   18.5,   34.6,   27.5,   41.6,   29.8,   87.6,   91.9,   12.4,    8.1,  100.0,   33.7,   18.1,   15.1,   38.2,   50.9,   87.0,   84.2,   13.0,   15.8,    856,    226,    166,    241,    379,    365,    713,    682,    837,    205,    187,    211,    362,    332,    672,    631,    573,    122,     81,     92,    181,    300,    338,    445,    11.8,     7.7,    17.7,    13.5,     7.2,     5.5,    10.2,     9.2,    12.9,     7.1,    19.3,    13.1,    11.1,     6.6,    15.5,    11.5,    16.1,    22.3,    26.1,    30.6,    15.3,    18.4,    22.5,    26.0,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",190312,2019-03-12,004603,CBT ,00,004 ,    4437,    1554,     707,     301,    1178,    2369,    3033,    3377,    1404,    1060,    3386,    1540,     694,       9,     741,    2029,    2290,    2732,    1096,     655,    1050,      30,      29,     276,     437,     340,     743,     645,     308,     405,     -69,     -75,     101,      38,      59,    -171,      22,     -32,     -91,     -37,  100.0,   35.0,   15.9,    6.8,   26.5,   53.4,   68.4,   76.1,   31.6,   23.9,  100.0,   45.5,   20.5,    0.3,   21.9,   59.9,   67.6,   80.7,   32.4,   19.3,  100.0,    2.8,    2.8,   26.3,   41.6,   32.4,   70.7,   61.4,   29.3,   38.6,     25,      8,      5,      4,     10,      9,     21,     15,     23,      8,      4,      2,      6,      7,     15,     12,     15,      3,      3,      3,      8,      5,     14,      8,    44.3,    53.1,    55.1,    67.2,    44.3,    49.8,    52.2,    60.7,    55.2,    61.9,    64.8,    75.3,    55.2,    61.9,    64.8,    75.3,    39.6,    52.0,    61.1,    61.4,    28.3,    24.3,    34.7,    25.6,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",190312,2019-03-12,005602,CBT ,00,005 ,  817173,  120851,  188931,  225680,  414663,  304598,  761193,  719208,   55980,   97965,  624478,  121860,  178900,  148322,  309639,  231870,  579820,  559091,   44658,   65386,  192696,   37931,   48970,   38419,  105024,   72728,  181373,  160117,   11322,   32579,   53373,   -2981,   36525,   10722,   43953,    4122,   51694,   51369,    1679,    2004,  100.0,   14.8,   23.1,   27.6,   50.7,   37.3,   93.1,   88.0,    6.9,   12.0,  100.0,   19.5,   28.6,   23.8,   49.6,   37.1,   92.8,   89.5,    7.2,   10.5,  100.0,   19.7,   25.4,   19.9,   54.5,   37.7,   94.1,   83.1,    5.9,   16.9,    630,    149,    178,    220,    205,    238,    483,    529,    613,    148,    178,    181,    193,    219,    443,    487,    406,     79,    103,     82,     95,    190,    221,    332,    16.9,    10.1,    24.3,    16.6,    14.8,     8.0,    20.6,    13.1,    15.5,    11.9,    24.0,    18.6,    15.0,     9.7,    20.9,    15.7,    25.2,    14.0,    35.5,    22.7,    19.8,    11.4,    28.8,    17.0,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063A2,IFED,01,006 ,   48472,   13817,   10382,    1240,   33392,   36850,   48449,   48472,      23,       0,   48472,   13817,   10382,    1240,   33392,   36850,   48449,   48472,      23,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     710,    -125,      -0,     360,     475,     350,     710,     710,       0,       0,  100.0,   28.5,   21.4,    2.6,   68.9,   76.0,  100.0,  100.0,    0.0,    0.0,  100.0,   28.5,   21.4,    2.6,   68.9,   76.0,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,     11,      4,      2,     13,     14,     25,     19,     37,     11,      4,      2,     13,     14,     25,     19,      0,      0,      0,      0,      0,      0,      0,      0,    49.5,    58.5,    71.9,    83.9,    46.8,    58.5,    63.8,    82.2,    49.5,    58.5,    71.9,    83.9,    46.8,    58.5,    63.8,    82.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063A2","IFED","006 "
"NJ SRECS VINTAGE 2019 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063A3,IFED,01,006 ,   44421,    6919,   26584,       0,   37502,   17837,   44421,   44421,       0,       0,   44421,    6919,   26584,       0,   37502,   17837,   44421,   44421,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   15.6,   59.8,    0.0,   84.4,   40.2,  100.0,  100.0,    0.0,    0.0,  100.0,   15.6,   59.8,    0.0,   84.4,   40.2,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      3,      8,      0,     10,      8,     13,     16,     26,      3,      8,      0,     10,      8,     13,     16,      0,      0,      0,      0,      0,      0,      0,      0,    73.5,    80.8,    95.9,    93.4,    73.5,    79.9,    95.9,    91.9,    73.5,    80.8,    95.9,    93.4,    73.5,    79.9,    95.9,    91.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A3","IFED","006 "
"NJ SRECS VINTAGE 2020 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063A4,IFED,01,006 ,   52726,   11261,   37784,       0,   41465,   14942,   52726,   52726,       0,       0,   52726,   11261,   37784,       0,   41465,   14942,   52726,   52726,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     200,       0,       0,       0,     200,     200,     200,     200,       0,       0,  100.0,   21.4,   71.7,    0.0,   78.6,   28.3,  100.0,  100.0,    0.0,    0.0,  100.0,   21.4,   71.7,    0.0,   78.6,   28.3,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      2,     10,      0,     12,      8,     14,     18,     27,      2,     10,      0,     12,      8,     14,     18,      0,      0,      0,      0,      0,      0,      0,      0,    76.5,    78.5,    94.6,    91.4,    76.5,    78.5,    92.3,    89.5,    76.5,    78.5,    94.6,    91.4,    76.5,    78.5,    92.3,    89.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A4","IFED","006 "
"PJM TRI-RECs CLASS 1 Vin 2019 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063AD,IFED,01,006 ,   35304,    5120,   19150,     100,   30084,   16054,   35304,   35304,       0,       0,   35304,    5120,   19150,     100,   30084,   16054,   35304,   35304,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -329,       0,    -300,       0,    -329,     -29,    -329,    -329,       0,       0,  100.0,   14.5,   54.2,    0.3,   85.2,   45.5,  100.0,  100.0,    0.0,    0.0,  100.0,   14.5,   54.2,    0.3,   85.2,   45.5,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      6,      6,      1,      7,     12,     14,     18,     29,      6,      6,      1,      7,     12,     14,     18,      0,      0,      0,      0,      0,      0,      0,      0,    75.9,    58.9,    95.7,    82.1,    73.6,    58.9,    93.4,    81.8,    75.9,    58.9,    95.7,    82.1,    73.6,    58.9,    93.4,    81.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063AD","IFED","006 "
"PJM TRI-RECs CLASS 1 Vin 2020 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063AN,IFED,01,006 ,   32238,    7820,    9675,       0,   24418,   22563,   32238,   32238,       0,       0,   32238,    7820,    9675,       0,   24418,   22563,   32238,   32238,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -42,       0,     500,       0,     -42,    -542,     -42,     -42,       0,       0,  100.0,   24.3,   30.0,    0.0,   75.7,   70.0,  100.0,  100.0,    0.0,    0.0,  100.0,   24.3,   30.0,    0.0,   75.7,   70.0,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      4,      5,      0,     10,      8,     14,     13,     24,      4,      5,      0,     10,      8,     14,     13,      0,      0,      0,      0,      0,      0,      0,      0,    54.7,    79.5,    81.5,    93.9,    54.7,    78.0,    81.4,    92.5,    54.7,    79.5,    81.5,    93.9,    54.7,    78.0,    81.4,    92.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063AN","IFED","006 "
"CALIF CARBON ALL VINTAGE 2019 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063AS,IFED,01,006 ,   67653,   18478,   12396,   11469,   37691,   43778,   67638,   67643,      15,      10,   67653,   18478,   12396,   11469,   37691,   43778,   67638,   67643,      15,      10,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   12056,    1934,    1282,    3135,    7027,    7638,   12096,   12056,     -40,       0,  100.0,   27.3,   18.3,   17.0,   55.7,   64.7,  100.0,  100.0,    0.0,    0.0,  100.0,   27.3,   18.3,   17.0,   55.7,   64.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     52,     20,      7,     10,     23,     16,     47,     30,     52,     20,      7,     10,     23,     16,     47,     30,      0,      0,      0,      0,      0,      0,      0,      0,    37.5,    45.5,    59.5,    70.5,    25.1,    31.3,    34.4,    41.8,    37.5,    45.5,    59.5,    70.5,    25.1,    31.3,    34.4,    41.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063AS","IFED","006 "
"PJM TRI-RECs CLASS 1 Vin 2021 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063B1,IFED,01,006 ,   29177,   12364,    3750,       0,   16813,   25427,   29177,   29177,       0,       0,   29177,   12364,    3750,       0,   16813,   25427,   29177,   29177,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -28,     250,       0,       0,    -278,     -28,     -28,     -28,       0,       0,  100.0,   42.4,   12.9,    0.0,   57.6,   87.1,  100.0,  100.0,    0.0,    0.0,  100.0,   42.4,   12.9,    0.0,   57.6,   87.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      5,      2,      0,     10,      4,     15,      6,     21,      5,      2,      0,     10,      4,     15,      6,      0,      0,      0,      0,      0,      0,      0,      0,    69.3,    94.6,    89.7,   100.0,    69.3,    94.6,    89.7,   100.0,    69.3,    94.6,    89.7,   100.0,    69.3,    94.6,    89.7,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063B1","IFED","006 "
"NJ SRECS VINTAGE 2021 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063BD,IFED,01,006 ,   39029,   10580,   30061,       0,   28440,    8968,   39020,   39029,       9,       0,   39029,   10580,   30061,       0,   28440,    8968,   39020,   39029,       9,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1000,    1000,    1500,       0,       0,    -500,    1000,    1000,       0,       0,  100.0,   27.1,   77.0,    0.0,   72.9,   23.0,  100.0,  100.0,    0.0,    0.0,  100.0,   27.1,   77.0,    0.0,   72.9,   23.0,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      3,      7,      0,      8,      6,     11,     13,     22,      3,      7,      0,      8,      6,     11,     13,      0,      0,      0,      0,      0,      0,      0,      0,    78.4,    82.9,    97.5,    96.0,    78.4,    81.2,    94.9,    92.1,    78.4,    82.9,    97.5,    96.0,    78.4,    81.2,    94.9,    92.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063BD","IFED","006 "
"NJ SRECS VINTAGE 2022 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063BF,IFED,01,006 ,   12839,    3800,    6291,       0,    9039,    6525,   12839,   12816,       0,      23,   12839,    3800,    6291,       0,    9039,    6525,   12839,   12816,       0,      23,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     823,    1000,    1500,       0,    -177,    -700,     823,     800,       0,      23,  100.0,   29.6,   49.0,    0.0,   70.4,   50.8,  100.0,   99.8,    0.0,    0.2,  100.0,   29.6,   49.0,    0.0,   70.4,   50.8,  100.0,   99.8,    0.0,    0.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      5,      2,      0,      9,      5,     14,      7,     20,      5,      2,      0,      9,      5,     14,      7,      0,      0,      0,      0,      0,      0,      0,      0,    75.1,    84.2,    95.3,    99.8,    75.1,    78.4,    91.0,    94.0,    75.1,    84.2,    95.3,    99.8,    75.1,    78.4,    91.0,    94.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063BF","IFED","006 "
"CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063CA,IFED,01,006 ,   13729,    4033,    2310,     146,    9550,   11223,   13729,   13679,       0,      50,   13729,    4033,    2310,     146,    9550,   11223,   13729,   13679,       0,      50,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     869,    1030,     260,      14,    -175,     595,     869,     869,       0,       0,  100.0,   29.4,   16.8,    1.1,   69.6,   81.7,  100.0,   99.6,    0.0,    0.4,  100.0,   29.4,   16.8,    1.1,   69.6,   81.7,  100.0,   99.6,    0.0,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      5,      5,      1,     10,      9,     15,     15,     23,      5,      5,      1,     10,      9,     15,     15,      0,      0,      0,      0,      0,      0,      0,      0,    47.7,    84.1,    84.2,    93.9,    45.7,    61.5,    68.3,    68.5,    47.7,    84.1,    84.2,    93.9,    45.7,    61.5,    68.3,    68.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063CA","IFED","006 "
"RGGI VINTAGE 2018 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063CD,IFED,01,006 ,   34974,    4150,     446,       0,   30822,   34528,   34972,   34974,       2,       0,   34974,    4150,     446,       0,   30822,   34528,   34972,   34974,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      -3,     200,       0,       0,    -203,      -3,      -3,      -3,       0,       0,  100.0,   11.9,    1.3,    0.0,   88.1,   98.7,  100.0,  100.0,    0.0,    0.0,  100.0,   11.9,    1.3,    0.0,   88.1,   98.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      3,      2,      0,     13,      9,     16,     11,     20,      3,      2,      0,     13,      9,     16,     11,      0,      0,      0,      0,      0,      0,      0,      0,    71.0,    97.2,    90.6,    99.5,    66.1,    93.4,    85.2,    93.4,    71.0,    97.2,    90.6,    99.5,    66.1,    93.4,    85.2,    93.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 RGGI CO2 Allowances","0063CD","IFED","006 "
"CALIF CARBON VINTAGE 2021 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063CJ,IFED,01,006 ,   17289,    5914,    3100,    3875,    7500,   10314,   17289,   17289,       0,       0,   17289,    5914,    3100,    3875,    7500,   10314,   17289,   17289,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     507,     -18,       0,       0,     525,     507,     507,     507,       0,       0,  100.0,   34.2,   17.9,   22.4,   43.4,   59.7,  100.0,  100.0,    0.0,    0.0,  100.0,   34.2,   17.9,   22.4,   43.4,   59.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      5,      2,      2,      9,      8,     16,     12,     20,      5,      2,      2,      9,      8,     16,     12,      0,      0,      0,      0,      0,      0,      0,      0,    56.9,    60.7,    83.1,    88.4,    48.0,    49.4,    61.2,    62.7,    56.9,    60.7,    83.1,    88.4,    48.0,    49.4,    61.2,    62.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063CJ","IFED","006 "
"RGGI VINTAGE 2019 - ICE FUTURES ENERGY DIV",190312,2019-03-12,0063CL,IFED,01,006 ,   12577,     858,      77,     148,   11571,   12352,   12577,   12577,       0,       0,   12577,     858,      77,     148,   11571,   12352,   12577,   12577,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -90,    -230,       0,      50,      90,    -140,     -90,     -90,       0,       0,  100.0,    6.8,    0.6,    1.2,   92.0,   98.2,  100.0,  100.0,    0.0,    0.0,  100.0,    6.8,    0.6,    1.2,   92.0,   98.2,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      4,      2,      2,     14,     11,     19,     14,     23,      4,      2,      2,     14,     11,     19,     14,      0,      0,      0,      0,      0,      0,      0,      0,    62.4,    69.3,    80.4,    90.7,    58.5,    54.9,    69.7,    72.9,    62.4,    69.3,    80.4,    90.7,    58.5,    54.9,    69.7,    72.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 RGGI CO2 Allowances","0063CL","IFED","006 "
"SOYBEAN OIL - CHICAGO BOARD OF TRADE",190312,2019-03-12,007601,CBT ,00,007 ,  500032,  122824,   74121,  144978,  198564,  252469,  466366,  471568,   33666,   28464,  393000,  121205,   83724,  100514,  147731,  188092,  369449,  372330,   23551,   20670,  107032,   31531,   20309,   14552,   50834,   64377,   96917,   99238,   10115,    7794,  -15295,    5676,    3138,  -11661,   -8576,   -7277,  -14561,  -15800,    -734,     505,  100.0,   24.6,   14.8,   29.0,   39.7,   50.5,   93.3,   94.3,    6.7,    5.7,  100.0,   30.8,   21.3,   25.6,   37.6,   47.9,   94.0,   94.7,    6.0,    5.3,  100.0,   29.5,   19.0,   13.6,   47.5,   60.1,   90.5,   92.7,    9.5,    7.3,    341,    116,     85,    136,     82,     87,    276,    258,    336,    115,     92,    121,     78,     83,    259,    247,    161,     47,     43,     40,     49,     35,    121,     98,    10.4,    23.8,    17.2,    31.5,     9.8,    21.0,    15.1,    28.1,    11.5,    21.2,    19.2,    29.5,    11.2,    19.1,    18.6,    26.6,    15.5,    39.0,    27.3,    54.6,    15.1,    36.3,    25.5,    49.5,"(CONTRACTS OF 60,000 POUNDS)","007601","CBT ","007 "
