"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,090741,CME ,00,090 ,  158317,   23734,   11496,   34605,   31156,   23487,    2848,   21355,   45333,    6291,   10184,    1791,     465,  130638,  126316,   27679,   32001,   10822,   -1333,   -3215,   13190,     460,     -61,   -1241,    1297,    1396,    -703,    -493,     776,       3,   11180,   10145,    -358,     677,  100.0,   15.0,    7.3,   21.9,   19.7,   14.8,    1.8,   13.5,   28.6,    4.0,    6.4,    1.1,    0.3,   82.5,   79.8,   17.5,   20.2,     91,     11,.,      9,      9,     13,      4,     19,     24,     16,     10,.,.,     60,     63,    36.7,    34.9,    48.0,    46.8,    20.2,    18.2,    28.8,    28.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,092741,CME ,00,092 ,  100867,   74937,    1607,    3854,    2118,   20006,     301,   12467,   43480,     563,     480,    1674,       0,   94720,   71485,    6147,   29382,   -6323,    1557,     185,     -11,       0,      34,     105,   -3323,   -7786,    -238,       0,      49,       0,   -1910,   -7662,   -4413,    1339,  100.0,   74.3,    1.6,    3.8,    2.1,   19.8,    0.3,   12.4,   43.1,    0.6,    0.5,    1.7,    0.0,   93.9,   70.9,    6.1,   29.1,     59,      9,.,.,.,     12,.,      8,     23,.,.,.,      0,     24,     42,    68.7,    28.0,    79.8,    40.8,    64.9,    27.6,    75.9,    39.6,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,096742,CME ,00,096 ,  239409,   71354,   37313,   25405,   35219,   72327,    3958,   63987,   41822,   11713,    2283,   10237,     125,  214044,  202900,   25365,   36509,   33631,    6722,   -1843,   23392,   -2508,    3151,    -601,    9240,    5999,    1562,     -58,     211,       0,   37749,   31871,   -4118,    1760,  100.0,   29.8,   15.6,   10.6,   14.7,   30.2,    1.7,   26.7,   17.5,    4.9,    1.0,    4.3,    0.1,   89.4,   84.8,   10.6,   15.2,    122,      8,      8,      5,     10,     27,      8,     30,     27,     22,      4,      6,.,     70,     89,    42.4,    30.9,    56.9,    42.2,    35.9,    23.7,    48.1,    34.2,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,097741,CME ,00,097 ,  146448,   28503,   29974,    3980,   30421,   28759,    5935,   42295,   37643,    6418,    2446,     979,      43,  120041,  113731,   26407,   32717,  -24891,  -12415,    -741,   -1526,    -269,   -2175,     549,   -9964,  -17129,    -180,     314,     -96,       8,  -23483,  -21290,   -1408,   -3601,  100.0,   19.5,   20.5,    2.7,   20.8,   19.6,    4.1,   28.9,   25.7,    4.4,    1.7,    0.7,    0.0,   82.0,   77.7,   18.0,   22.3,    117,      9,      7,      5,     15,     22,     11,     31,     27,     19,      4,.,.,     76,     77,    19.0,    28.7,    30.7,    41.0,    18.4,    27.8,    30.0,    39.2,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,099741,CME ,00,099 ,  576287,   87429,  214080,   25704,  254374,  110809,   36534,   67518,  100985,   12779,   20317,    9130,    2185,  506840,  512206,   69447,   64081,   24036,   12084,  -13796,   14584,    7053,    6314,    1471,   -2916,   12661,    1719,     223,   -1365,     323,   34541,   21911,  -10505,    2125,  100.0,   15.2,   37.1,    4.5,   44.1,   19.2,    6.3,   11.7,   17.5,    2.2,    3.5,    1.6,    0.4,   87.9,   88.9,   12.1,   11.1,    276,     21,      8,     11,     85,     35,     40,     34,     54,     30,     24,     13,      6,    192,    171,    18.7,    40.1,    30.8,    49.3,    18.1,    36.8,    27.7,    45.7,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,232741,CME ,00,232 ,  143872,   83456,   14106,    1859,    4644,   41496,    1736,   29086,   46035,    2829,    1787,     942,      68,  125465,  109071,   18407,   34801,  -12101,   -2412,    1458,     474,     407,   -2733,    -157,   -8390,   -6853,     238,     -16,    -590,       0,   -9856,   -8163,   -2245,   -3938,  100.0,   58.0,    9.8,    1.3,    3.2,   28.8,    1.2,   20.2,   32.0,    2.0,    1.2,    0.7,    0.0,   87.2,   75.8,   12.8,   24.2,     89,     10,      5,      4,      7,     13,      4,     22,     27,     12,.,.,.,     50,     60,    57.5,    34.0,    68.1,    46.6,    57.5,    33.8,    67.0,    45.6,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,299741,CME ,00,099 ,   37028,       0,   24624,       0,   17636,    4972,    1926,    3837,       0,      49,       0,     771,       5,   23453,   32347,   13575,    4681,     370,       0,      14,       0,      75,      36,      30,     321,       0,      49,       0,       0,       0,     475,     129,    -105,     241,  100.0,    0.0,   66.5,    0.0,   47.6,   13.4,    5.2,   10.4,    0.0,    0.1,    0.0,    2.1,    0.0,   63.3,   87.4,   36.7,   12.6,     28,      0,.,      0,     13,      7,      8,      4,      0,.,      0,.,.,     21,     17,    33.8,    71.8,    45.7,    81.3,    32.6,    69.4,    43.9,    78.4,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,089741,CME ,00,089 ,   27480,    2301,   22286,     227,   14077,     216,       0,    7170,    1254,     579,     100,     245,       0,   24454,   24807,    3026,    2673,     958,     -49,       0,     226,    1488,      24,       0,   -1382,      94,     566,    -125,       0,       0,     724,     910,     234,      48,  100.0,    8.4,   81.1,    0.8,   51.2,    0.8,    0.0,   26.1,    4.6,    2.1,    0.4,    0.9,    0.0,   89.0,   90.3,   11.0,    9.7,     24,.,      4,.,.,.,      0,      8,      4,      4,.,.,      0,     16,     14,    71.6,    81.9,    83.6,    87.8,    69.9,    81.1,    81.9,    86.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,095741,CME ,00,095 ,  202098,   45676,  107410,     676,   90543,   30390,       0,   50084,   38804,    8029,    2770,    9627,       0,  197778,  194936,    4320,    7162,   20427,   13889,   18766,    -512,    4516,    6284,       0,   -1530,   -8817,    3176,     803,     278,       0,   20342,   19175,      85,    1252,  100.0,   22.6,   53.1,    0.3,   44.8,   15.0,    0.0,   24.8,   19.2,    4.0,    1.4,    4.8,    0.0,   97.9,   96.5,    2.1,    3.5,    145,      6,      8,.,      9,     16,      0,     29,     48,     11,      9,     20,      0,     62,     96,    60.1,    53.1,    76.5,    68.0,    60.1,    52.9,    76.5,    67.8,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",180605,2018-06-05,102741,CME ,00,102 ,   42457,   24930,     423,    1304,    5350,   28700,       0,    7755,    8635,     368,     738,    1057,     112,   40557,   40599,    1900,    1858,  -10722,    5111,   -2629,   -5826,    -133,   -1150,      -8,   -9585,    -562,    -150,    -339,      30,     109,  -10821,  -10186,      99,    -536,  100.0,   58.7,    1.0,    3.1,   12.6,   67.6,    0.0,   18.3,   20.3,    0.9,    1.7,    2.5,    0.3,   95.5,   95.6,    4.5,    4.4,     42,.,.,.,.,      6,      0,     11,     14,.,.,.,.,     19,     29,    79.6,    79.3,    90.2,    84.9,    76.5,    77.8,    87.0,    82.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
