"WHEAT-SRW - CHICAGO BOARD OF TRADE",190409,2019-04-09,001602,CBT ,00,001 ,  471734,  133695,  159961,  127720,  167619,  133814,  429034,  421495,   42700,   50239,  158124,   78736,   78886,   10516,   54669,   50979,  143921,  140381,   14203,   17743,  313610,  101937,  128053,   70226,  112950,   82835,  285113,  281114,   28497,   32496,  -28086,   -1946,   -3084,  -22246,   -3323,   -2376,  -27515,  -27706,    -571,    -380,  100.0,   28.3,   33.9,   27.1,   35.5,   28.4,   90.9,   89.4,    9.1,   10.6,  100.0,   49.8,   49.9,    6.7,   34.6,   32.2,   91.0,   88.8,    9.0,   11.2,  100.0,   32.5,   40.8,   22.4,   36.0,   26.4,   90.9,   89.6,    9.1,   10.4,    392,    119,    125,    122,     98,    104,    292,    291,    292,     92,     88,     24,     57,     63,    161,    163,    339,    105,    102,     98,     82,     91,    246,    243,    11.2,    10.0,    19.2,    18.9,    10.3,     8.3,    16.5,    14.4,    21.3,    19.9,    32.7,    33.8,    21.3,    19.9,    31.7,    33.8,     9.9,    14.8,    18.3,    24.4,     9.4,     9.5,    17.0,    16.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE",190409,2019-04-09,00160F,CBT ,00,001 ,   14130,    4475,     650,    1220,    8052,   11785,   13747,   13655,     383,     475,    4284,    3375,       0,       0,     909,    4109,    4284,    4109,       0,     175,    9846,    1100,     650,    1220,    7143,    7676,    9463,    9546,     383,     300,   -1845,   -1542,       0,     120,    -503,   -2165,   -1925,   -2045,      80,     200,  100.0,   31.7,    4.6,    8.6,   57.0,   83.4,   97.3,   96.6,    2.7,    3.4,  100.0,   78.8,    0.0,    0.0,   21.2,   95.9,  100.0,   95.9,    0.0,    4.1,  100.0,   11.2,    6.6,   12.4,   72.5,   78.0,   96.1,   97.0,    3.9,    3.0,     27,      5,      2,      5,     14,     12,     21,     18,     10,      2,      0,      0,      4,      6,      6,      6,     24,      4,      2,      5,     13,      9,     19,     15,    49.9,    59.2,    69.1,    80.7,    38.2,    38.0,    50.5,    51.5,    96.5,    94.0,   100.0,    95.9,    90.2,    85.4,    90.7,    86.6,    46.5,    58.7,    66.3,    84.6,    44.4,    47.6,    59.2,    64.9,"50 Metric Tons","00160F","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",190409,2019-04-09,001612,CBT ,00,001 ,  327373,   82595,  112078,   84155,  123428,  109729,  290178,  305962,   37195,   21411,  117401,   51592,   59404,    4634,   45608,   46245,  101834,  110283,   15567,    7118,  209972,   62197,   83868,   48327,   77820,   63484,  188344,  195679,   21628,   14293,  -11990,    -783,   -3741,   -4636,   -8218,   -3675,  -13637,  -12052,    1647,      62,  100.0,   25.2,   34.2,   25.7,   37.7,   33.5,   88.6,   93.5,   11.4,    6.5,  100.0,   43.9,   50.6,    3.9,   38.8,   39.4,   86.7,   93.9,   13.3,    6.1,  100.0,   29.6,   39.9,   23.0,   37.1,   30.2,   89.7,   93.2,   10.3,    6.8,    260,     75,     57,     75,     95,     72,    206,    179,    209,     62,     39,     12,     72,     42,    140,     87,    234,     59,     61,     58,     76,     68,    168,    163,    12.2,    16.4,    21.2,    27.7,     8.8,    15.5,    15.3,    24.8,    21.9,    32.0,    33.5,    49.9,    21.9,    32.0,    33.3,    49.9,    13.7,    17.4,    23.4,    27.4,    12.2,    14.8,    18.9,    22.4,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",190409,2019-04-09,001626,MGE ,00,001 ,   63489,   11944,   18835,    4501,   36299,   29172,   52744,   52508,   10745,   10981,   43368,   12497,   16268,    2571,   20412,   17816,   35480,   36655,    7888,    6713,   20121,     938,    4058,     439,   15887,   11356,   17264,   15853,    2857,    4268,    1736,   -1984,    3778,    -202,    3420,   -3516,    1234,      60,     502,    1676,  100.0,   18.8,   29.7,    7.1,   57.2,   45.9,   83.1,   82.7,   16.9,   17.3,  100.0,   28.8,   37.5,    5.9,   47.1,   41.1,   81.8,   84.5,   18.2,   15.5,  100.0,    4.7,   20.2,    2.2,   79.0,   56.4,   85.8,   78.8,   14.2,   21.2,     91,     17,     18,     14,     52,     34,     74,     61,     88,     18,     16,      8,     46,     27,     66,     49,     63,      4,     13,      6,     29,     28,     38,     42,    23.1,    27.3,    34.5,    43.0,    22.6,    25.9,    31.7,    37.7,    26.0,    32.5,    38.0,    51.5,    25.9,    32.5,    36.7,    48.1,    38.0,    31.5,    54.2,    47.7,    37.5,    29.8,    52.9,    43.4,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",190409,2019-04-09,002602,CBT ,00,002 , 1748710,  403322,  532560,  348743,  756456,  682530, 1508521, 1563833,  240189,  184877, 1308994,  395088,  550341,  203102,  529839,  444114, 1128029, 1197557,  180965,  111437,  439716,  111021,   85006,   42854,  226617,  238416,  380492,  366276,   59224,   73440,  -75147,    3343,   27470,  -71254,  -14375,  -38970,  -82286,  -82754,    7139,    7607,  100.0,   23.1,   30.5,   19.9,   43.3,   39.0,   86.3,   89.4,   13.7,   10.6,  100.0,   30.2,   42.0,   15.5,   40.5,   33.9,   86.2,   91.5,   13.8,    8.5,  100.0,   25.2,   19.3,    9.7,   51.5,   54.2,   86.5,   83.3,   13.5,   16.7,    833,    182,    172,    201,    336,    320,    648,    610,    789,    185,    171,    142,    310,    272,    572,    523,    552,    105,     92,     73,    143,    264,    290,    405,    10.8,     9.2,    16.1,    15.8,     6.2,     6.7,    10.2,    11.9,    10.3,     9.0,    16.3,    16.1,     7.7,     8.6,    13.4,    14.9,    18.1,    21.0,    28.6,    29.3,    12.7,    13.4,    19.9,    19.6,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",190409,2019-04-09,004603,CBT ,00,004 ,    6038,    1904,    1092,     340,    2053,    3492,    4297,    4924,    1741,    1114,    3102,    1403,    1015,       0,     853,    1436,    2256,    2451,     846,     651,    2936,     841,     417,       0,    1200,    2056,    2041,    2473,     895,     463,     755,     361,     112,     130,      27,     452,     518,     694,     237,      61,  100.0,   31.5,   18.1,    5.6,   34.0,   57.8,   71.2,   81.6,   28.8,   18.4,  100.0,   45.2,   32.7,    0.0,   27.5,   46.3,   72.7,   79.0,   27.3,   21.0,  100.0,   28.6,   14.2,    0.0,   40.9,   70.0,   69.5,   84.2,   30.5,   15.8,     26,      9,      5,      3,     10,      9,     21,     16,     21,      6,      6,      0,      5,      5,     11,     11,     21,      7,      3,      0,      8,      7,     15,     10,    42.6,    58.3,    56.3,    72.7,    36.6,    47.6,    45.8,    55.6,    59.2,    58.4,    71.7,    75.0,    56.4,    51.5,    65.6,    68.0,    44.2,    65.6,    61.3,    82.7,    44.2,    63.5,    61.3,    79.7,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",190409,2019-04-09,005602,CBT ,00,005 ,  767938,  145108,  183751,  171446,  398161,  330040,  714715,  685237,   53223,   82701,  556482,  160706,  172921,   88163,  265823,  240303,  514692,  501387,   41790,   55095,  211456,   40714,   67142,   26971,  132338,   89737,  200023,  183850,   11433,   27606,   30836,     344,   -5053,   19755,    8754,   16893,   28853,   31595,    1983,    -759,  100.0,   18.9,   23.9,   22.3,   51.8,   43.0,   93.1,   89.2,    6.9,   10.8,  100.0,   28.9,   31.1,   15.8,   47.8,   43.2,   92.5,   90.1,    7.5,    9.9,  100.0,   19.3,   31.8,   12.8,   62.6,   42.4,   94.6,   86.9,    5.4,   13.1,    613,    144,    160,    184,    166,    231,    419,    501,    591,    153,    153,    124,    141,    208,    359,    439,    411,     67,    110,     77,     94,    184,    219,    327,    15.9,    11.6,    23.2,    18.1,    13.9,    11.0,    19.3,    15.9,    14.6,    14.5,    22.8,    21.8,    14.4,    14.5,    21.5,    21.0,    27.7,    15.0,    39.5,    25.5,    20.1,    12.8,    29.9,    19.4,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV",190409,2019-04-09,0063A2,IFED,01,006 ,   44648,   12197,    9457,    1240,   31188,   33951,   44625,   44648,      23,       0,   44648,   12197,    9457,    1240,   31188,   33951,   44625,   44648,      23,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     225,     200,      75,       0,      30,     150,     230,     225,      -5,       0,  100.0,   27.3,   21.2,    2.8,   69.9,   76.0,   99.9,  100.0,    0.1,    0.0,  100.0,   27.3,   21.2,    2.8,   69.9,   76.0,   99.9,  100.0,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,     11,      4,      2,     15,     11,     27,     16,     37,     11,      4,      2,     15,     11,     27,     16,      0,      0,      0,      0,      0,      0,      0,      0,    49.5,    63.5,    69.8,    86.7,    47.7,    63.5,    64.9,    84.1,    49.5,    63.5,    69.8,    86.7,    47.7,    63.5,    64.9,    84.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063A2","IFED","006 "
"NJ SRECS VINTAGE 2019 - ICE FUTURES ENERGY DIV",190409,2019-04-09,0063A3,IFED,01,006 ,   42621,    5319,   25384,       0,   37302,   17237,   42621,   42621,       0,       0,   42621,    5319,   25384,       0,   37302,   17237,   42621,   42621,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   12.5,   59.6,    0.0,   87.5,   40.4,  100.0,  100.0,    0.0,    0.0,  100.0,   12.5,   59.6,    0.0,   87.5,   40.4,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      3,      8,      0,     10,      8,     13,     16,     26,      3,      8,      0,     10,      8,     13,     16,      0,      0,      0,      0,      0,      0,      0,      0,    73.2,    81.4,    95.8,    93.7,    73.2,    80.5,    95.8,    92.7,    73.2,    81.4,    95.8,    93.7,    73.2,    80.5,    95.8,    92.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A3","IFED","006 "
"NJ SRECS VINTAGE 2020 - ICE FUTURES ENERGY DIV",190409,2019-04-09,0063A4,IFED,01,006 ,   54026,   12561,   37984,       0,   41465,   16042,   54026,   54026,       0,       0,   54026,   12561,   37984,       0,   41465,   16042,   54026,   54026,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     100,     100,    -200,       0,       0,     300,     100,     100,       0,       0,  100.0,   23.2,   70.3,    0.0,   76.8,   29.7,  100.0,  100.0,    0.0,    0.0,  100.0,   23.2,   70.3,    0.0,   76.8,   29.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,      2,     10,      0,     12,      9,     14,     19,     28,      2,     10,      0,     12,      9,     14,     19,      0,      0,      0,      0,      0,      0,      0,      0,    75.4,    78.1,    94.7,    90.9,    75.4,    78.1,    92.4,    89.3,    75.4,    78.1,    94.7,    90.9,    75.4,    78.1,    92.4,    89.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A4","IFED","006 "
