"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,090741,CME ,00,090 ,  151238,   39766,   22426,    1173,   41849,   28079,    2520,   20817,   53909,    6201,    8277,    2028,     489,  121092,  116825,   30146,   34413,    3559,    7175,    -973,     843,   -1045,    2725,     116,    -901,      42,   -2804,     551,     340,      10,    3945,     299,    -386,    3260,  100.0,   26.3,   14.8,    0.8,   27.7,   18.6,    1.7,   13.8,   35.6,    4.1,    5.5,    1.3,    0.3,   80.1,   77.2,   19.9,   22.8,    111,      9,      5,      7,     10,     17,      4,     17,     40,     11,      8,      4,      5,     58,     80,    33.2,    25.5,    46.5,    36.6,    32.6,    24.7,    45.1,    35.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,092741,CME ,00,092 ,   80733,   52599,    2555,    1266,    1175,   13491,     270,   14809,   42211,     703,     963,    1591,       0,   71785,   62087,    8948,   18646,   -4633,   -9132,     131,    1206,       0,   -3176,      57,    2191,    -119,     253,       0,       0,       0,   -5425,   -1648,     792,   -2985,  100.0,   65.2,    3.2,    1.6,    1.5,   16.7,    0.3,   18.3,   52.3,    0.9,    1.2,    2.0,    0.0,   88.9,   76.9,   11.1,   23.1,     64,      6,.,.,.,     13,.,     12,     25,      7,.,.,      0,     31,     44,    64.9,    30.3,    75.2,    42.8,    63.6,    29.9,    73.6,    42.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,096742,CME ,00,096 ,  261700,  122530,    4130,    3833,   46707,   98989,    3377,   56201,   92950,    5940,     954,    8634,     273,  239815,  218126,   21885,   43574,    1472,   -1579,   -1056,     617,    3558,    5284,      97,    1097,   -3487,     667,    -258,     418,     -66,    4133,    2474,   -2661,   -1002,  100.0,   46.8,    1.6,    1.5,   17.8,   37.8,    1.3,   21.5,   35.5,    2.3,    0.4,    3.3,    0.1,   91.6,   83.3,    8.4,   16.7,    129,     11,.,      4,     12,     28,      9,     23,     46,     15,.,      4,.,     56,    103,    44.7,    23.0,    59.5,    35.2,    44.4,    22.9,    58.5,    35.1,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,097741,CME ,00,097 ,  185347,   77878,    6558,    1696,   35055,   46857,    4134,   34498,   71646,    7333,    2407,    1685,      90,  163091,  139999,   22256,   45348,     265,    4686,   -4428,    -896,   -1286,    1369,     161,   -4094,    2055,     -61,      34,    -216,       0,   -1456,   -2016,    1721,    2281,  100.0,   42.0,    3.5,    0.9,   18.9,   25.3,    2.2,   18.6,   38.7,    4.0,    1.3,    0.9,    0.0,   88.0,   75.5,   12.0,   24.5,    123,      9,      5,      5,     17,     22,      8,     31,     32,     19,.,      4,.,     72,     84,    33.8,    31.4,    46.9,    39.3,    33.2,    31.4,    45.5,    39.2,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,099741,CME ,00,099 ,  527579,   61155,  146909,   11687,  273585,  126707,   30816,   33922,  128817,    9708,   18356,    6381,    1828,  441057,  462853,   86522,   64726,   -1545,    -821,    7461,   -2370,    2359,     800,    -500,     881,   -3954,   -3879,     374,    -511,     689,   -3267,   -2264,    1722,     719,  100.0,   11.6,   27.8,    2.2,   51.9,   24.0,    5.8,    6.4,   24.4,    1.8,    3.5,    1.2,    0.3,   83.6,   87.7,   16.4,   12.3,    272,     19,     10,     13,     85,     37,     43,     25,     62,     21,     24,      9,      8,    180,    177,    19.0,    36.5,    29.4,    49.1,    18.0,    36.3,    27.8,    47.4,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,232741,CME ,00,232 ,  156234,   88374,    4698,    6463,    7335,   41269,    1186,   27186,   54275,    3648,    2446,    1316,       1,  136639,  112856,   19595,   43378,   14890,    3012,    -804,    1556,     749,    5596,      34,    6677,    4779,    1207,    1503,     161,       1,   14739,   12530,     151,    2360,  100.0,   56.6,    3.0,    4.1,    4.7,   26.4,    0.8,   17.4,   34.7,    2.3,    1.6,    0.8,    0.0,   87.5,   72.2,   12.5,   27.8,     99,     11,      4,      5,      6,     19,      4,     20,     32,     17,.,.,.,     49,     77,    51.7,    19.2,    65.4,    31.7,    49.0,    18.7,    61.6,    30.8,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,299741,CME ,00,099 ,   35590,     476,   17304,       0,   16290,    6224,    2303,     527,    5031,      32,       0,     771,       5,   19633,   31670,   15957,    3920,    -494,      -6,      -4,       0,      65,     -39,     -33,    -577,   -1216,     -52,       0,       0,       0,    -603,   -1344,     109,     850,  100.0,    1.3,   48.6,    0.0,   45.8,   17.5,    6.5,    1.5,   14.1,    0.1,    0.0,    2.2,    0.0,   55.2,   89.0,   44.8,   11.0,     28,.,.,      0,     14,      5,      8,.,      4,.,      0,.,.,     21,     17,    27.1,    62.4,    38.0,    78.2,    25.4,    59.5,    35.9,    74.6,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,399741,CME ,00,099 ,   27900,    5407,    6212,     579,    8194,   14043,    2069,    5068,       0,      17,       0,       0,       0,   21334,   22920,    6566,    4980,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   19.4,   22.3,    2.1,   29.4,   50.3,    7.4,   18.2,    0.0,    0.1,    0.0,    0.0,    0.0,   76.5,   82.2,   23.5,   17.8,     20,.,.,.,      5,      9,      8,.,      0,.,      0,      0,      0,     17,     14,    51.7,    64.4,    67.3,    76.0,    50.6,    61.3,    64.8,    70.5,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,089741,CME ,00,089 ,   27753,       0,   20956,       9,   10269,     993,       0,   15142,    3189,     456,     319,     100,       0,   26195,   25703,    1558,    2050,    4119,       0,    3157,       0,      10,     374,       0,    3861,     137,     340,    -131,       0,       0,    4080,    4008,      39,     111,  100.0,    0.0,   75.5,    0.0,   37.0,    3.6,    0.0,   54.6,   11.5,    1.6,    1.1,    0.4,    0.0,   94.4,   92.6,    5.6,    7.4,     29,      0,      5,.,.,.,      0,      9,      6,.,.,.,      0,     16,     16,    74.0,    74.0,    88.6,    87.4,    73.8,    72.5,    88.1,    85.9,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,095741,CME ,00,095 ,  220430,     150,  120325,    3432,  140228,    2430,       0,   65199,   71378,    1286,    2585,   17492,       0,  212880,  216343,    7550,    4087,    3411,    -536,    2748,   -1460,    8827,    -180,       0,   -2366,    3671,    -717,    -411,    -877,       0,    3337,    3185,      74,     226,  100.0,    0.1,   54.6,    1.6,   63.6,    1.1,    0.0,   29.6,   32.4,    0.6,    1.2,    7.9,    0.0,   96.6,   98.1,    3.4,    1.9,    128,.,     11,.,     24,      6,      0,     42,     27,      5,      6,     11,      0,     77,     57,    57.1,    47.4,    72.1,    73.7,    57.1,    47.4,    72.1,    72.1,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
