"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","090741","CME","00","090","172962","13817","69879","3130","44487","8244","6217","29444","32926","19361","17312","7527","19","133788","147304","39174","25658","19630","290","28364","-1168","12475","-11475","-175","8194","-2148","1078","-1947","5532","-10","18739","19998","891","-368","100.0","8.0","40.4","1.8","25.7","4.8","3.6","17.0","19.0","11.2","10.0","4.4","0.0","77.4","85.2","22.6","14.8","112","8","6","8","20","10","13","22","26","15","15","5",".","86","64","21.5","42.1","31.1","54.2","20.4","40.2","28.3","51.5","(CONTRACTS OF CAD 100,000)","090741","CME","090","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","092741","CME","00","092","52242","21122","4474","1335","1592","11531","893","15191","12251","618","931","818","0","41683","31921","10559","20321","-4985","-2890","1618","-74","-807","-2001","371","-1127","-5358","-85","0","0","0","-4612","-5529","-373","544","100.0","40.4","8.6","2.6","3.0","22.1","1.7","29.1","23.5","1.2","1.8","1.6","0.0","79.8","61.1","20.2","38.9","41","4","5","4",".","11",".","8","9","5",".",".","0","21","32","57.1","26.0","68.6","35.4","56.5","26.0","67.0","35.4","(CONTRACTS OF CHF 125,000)","092741","CME","092","F10","Combined"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","096742","CME","00","096","243301","99193","4805","4342","60234","110475","6716","21906","49809","21001","3878","7555","423","217695","205129","25606","38172","17737","18132","550","290","859","1123","560","-5731","10276","2197","3772","112","-133","19947","14977","-2210","2760","100.0","40.8","2.0","1.8","24.8","45.4","2.8","9.0","20.5","8.6","1.6","3.1","0.2","89.5","84.3","10.5","15.7","137","11","6","9","14","32","13","18","46","26","5","4",".","76","112","44.3","22.2","56.2","31.5","44.1","22.1","55.3","31.0","(CONTRACTS OF GBP 62,500)","096742","CME","096","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","097741","CME","00","097","162967","5426","36620","5734","41775","31408","9971","37322","20476","23489","6200","5282","265","130182","133246","32785","29721","-4393","-124","3032","-1296","1771","-2927","-2283","2331","-653","-3313","1167","2544","-81","-1829","-4979","-2564","586","100.0","3.3","22.5","3.5","25.6","19.3","6.1","22.9","12.6","14.4","3.8","3.2","0.2","79.9","81.8","20.1","18.2","121","4","8","7","27","21","15","33","21","21",".","5",".","85","80","17.3","25.2","28.1","36.2","16.7","23.7","24.4","32.3","(CONTRACTS OF JPY 12,500,000)","097741","CME","097","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","099741","CME","00","099","583643","35869","145040","13367","315600","144850","35322","26170","120729","46678","17894","11131","3035","493935","520151","89708","63492","-6624","776","5734","-1844","4603","-1718","-2113","-1815","-7226","-3178","338","684","-897","-4130","-10558","-2494","3934","100.0","6.1","24.9","2.3","54.1","24.8","6.1","4.5","20.7","8.0","3.1","1.9","0.5","84.6","89.1","15.4","10.9","287","19","12","17","92","38","50","30","53","25","25","18","13","202","190","16.5","26.5","26.2","39.6","16.1","26.3","25.0","39.2","(CONTRACTS OF EUR 125,000)","099741","CME","099","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","232741","CME","00","232","176568","71016","7842","4681","19120","44762","4688","34682","53029","14226","11","9192","236","148659","138655","27909","37913","-3773","-7106","1774","1965","4827","-12026","277","-2339","575","-14","-2","6955","218","-2173","-276","-1600","-3497","100.0","40.2","4.4","2.7","10.8","25.4","2.7","19.6","30.0","8.1","0.0","5.2","0.1","84.2","78.5","15.8","21.5","105","10","5","7","13","17","14","24","29","16",".","6",".","65","80","45.4","28.1","58.9","38.1","44.3","27.9","55.4","37.2","(CONTRACTS OF AUD 100,000)","232741","CME","232","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","299741","CME","00","099","25699","0","9719","0","9127","5882","2401","518","1772","0","0","589","2","12048","20365","13651","5334","379","0","132","0","230","107","59","-481","307","0","0","0","0","-192","605","571","-226","100.0","0.0","37.8","0.0","35.5","22.9","9.3","2.0","6.9","0.0","0.0","2.3","0.0","46.9","79.2","53.1","20.8","21","0",".","0","12","4","9",".",".","0","0",".",".","18","13","19.7","57.1","32.5","75.4","17.0","53.7","29.2","69.9","(CONTRACTS OF EUR 125,000)","299741","CME","099","F10","Combined"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","399741","CME","00","099","25337","3952","4457","579","7482","10691","2303","5064","935","0","0","1850","0","19380","20815","5957","4522","35","14","-15","15","-95","35","1","-156","-22","0","0","0","0","-221","14","256","21","100.0","15.6","17.6","2.3","29.5","42.2","9.1","20.0","3.7","0.0","0.0","7.3","0.0","76.5","82.2","23.5","17.8","21",".",".",".","6","8","8",".",".","0","0",".","0","16","14","48.4","47.5","67.9","68.7","48.1","43.2","63.5","61.4","(CONTRACTS OF EUR 125,000)","399741","CME","099","F10","Combined"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","089741","CME","00","089","76712","0","49381","0","68194","0","0","5546","25528","0","399","837","0","74139","75746","2573","966","8931","0","3408","0","8397","0","0","220","5389","0","0","13","0","8617","8810","314","121","100.0","0.0","64.4","0.0","88.9","0.0","0.0","7.2","33.3","0.0","0.5","1.1","0.0","96.6","98.7","3.4","1.3","40","0","6","0","10","0","0","13","7","0",".",".","0","25","15","84.2","75.3","90.1","95.1","84.2","75.3","90.1","95.1","(CONTRACTS OF RUB 2,500,000)","089741","CME","089","F15","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE","190702","2019-07-02","095741","CME","00","095","236493","1438","140237","912","140256","13883","133","82366","57672","589","3261","20279","17","228972","233722","7521","2771","19637","403","4814","-22","5747","-6824","119","12404","17466","160","793","3889","-11","19593","19592","44","45","100.0","0.6","59.3","0.4","59.3","5.9","0.1","34.8","24.4","0.2","1.4","8.6","0.0","96.8","98.8","3.2","1.2","165",".","10",".","32","9",".","54","28","8","15","14",".","110","70","49.6","61.5","63.7","74.3","49.6","61.5","63.6","74.3","(CONTRACTS OF MXN 500,000)","095741","CME","095","F15","Combined"
