"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,090741,CME ,00,090 ,  158974,   44328,   23662,   11854,   40306,   29137,    2291,   19260,   45290,    4017,    8061,    6101,     473,  130590,  122825,   28384,   36149,    7736,    4562,    1236,   10681,   -1543,    1058,    -229,   -1557,   -8619,   -2184,    -216,    4073,     -16,    9498,    6000,   -1762,    1736,  100.0,   27.9,   14.9,    7.5,   25.4,   18.3,    1.4,   12.1,   28.5,    2.5,    5.1,    3.8,    0.3,   82.1,   77.3,   17.9,   22.7,    108,      8,      5,      7,     12,     16,      4,     16,     36,     14,      8,      6,      4,     59,     78,    39.4,    28.5,    51.4,    39.8,    35.5,    23.5,    45.7,    33.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,092741,CME ,00,092 ,   79879,   46838,    4131,    1843,    1175,    8786,     517,   13930,   38507,    4428,    1357,    1591,      57,   70145,   59860,    9734,   20019,    -854,   -5761,    1576,     577,       0,   -4705,     247,    -879,   -3704,    3725,     394,       0,      57,   -1640,   -2227,     786,    1373,  100.0,   58.6,    5.2,    2.3,    1.5,   11.0,    0.6,   17.4,   48.2,    5.5,    1.7,    2.0,    0.1,   87.8,   74.9,   12.2,   25.1,     56,      6,      5,      4,.,      9,.,     10,     20,      9,.,.,.,     31,     41,    59.5,    34.1,    71.8,    44.7,    57.6,    30.3,    67.7,    40.8,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,096742,CME ,00,096 ,  279503,  113288,    7529,   26338,   48651,   99384,    2279,   53859,   72858,   11152,    1284,   15293,     101,  256952,  234934,   22551,   44569,   17803,   -9242,    3399,   22505,    1944,     395,   -1098,   -2342,  -20092,    5212,     330,    6659,    -172,   17137,   16808,     666,     995,  100.0,   40.5,    2.7,    9.4,   17.4,   35.6,    0.8,   19.3,   26.1,    4.0,    0.5,    5.5,    0.0,   91.9,   84.1,    8.1,   15.9,    126,      9,      5,      7,     13,     27,     12,     25,     39,     21,.,      5,.,     63,    105,    49.9,    24.1,    64.3,    39.2,    43.3,    23.6,    54.7,    35.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,097741,CME ,00,097 ,  193428,   76631,    4120,   10653,   33976,   44362,    4198,   33311,   75381,    5671,    4270,    3914,     126,  168836,  148425,   24592,   45003,    8081,   -1247,   -2438,    8957,   -1079,   -2495,      64,   -1187,    3735,   -1662,    1863,    2229,      36,    5745,    8426,    2336,    -345,  100.0,   39.6,    2.1,    5.5,   17.6,   22.9,    2.2,   17.2,   39.0,    2.9,    2.2,    2.0,    0.1,   87.3,   76.7,   12.7,   23.3,    123,      9,      4,      4,     15,     23,     10,     25,     39,     20,      4,      4,.,     71,     88,    32.3,    31.6,    46.6,    42.5,    31.1,    31.3,    43.0,    38.7,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,099741,CME ,00,099 ,  550492,   59704,  142517,   40186,  264033,  123182,   31311,   29948,  105905,   15965,   18721,   23043,     926,  460794,  483035,   89698,   67457,   22913,   -1451,   -4392,   28499,   -9552,   -3525,     495,   -3974,  -22912,    6257,     365,   16662,    -902,   19737,   20182,    3176,    2731,  100.0,   10.8,   25.9,    7.3,   48.0,   22.4,    5.7,    5.4,   19.2,    2.9,    3.4,    4.2,    0.2,   83.7,   87.7,   16.3,   12.3,    268,     16,      8,     13,     86,     36,     48,     25,     57,     20,     22,     17,      6,    179,    176,    20.0,    40.0,    31.0,    52.0,    17.1,    33.6,    26.6,    44.6,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,232741,CME ,00,232 ,  176761,   87103,    5661,    8237,    6827,   49550,    1486,   41200,   57845,    5117,    2808,    2349,      11,  152789,  130256,   23972,   46505,   20527,   -1271,     963,    1774,    -508,    8281,     300,   14014,    3570,    1469,     362,    1033,      10,   16150,   17400,    4377,    3127,  100.0,   49.3,    3.2,    4.7,    3.9,   28.0,    0.8,   23.3,   32.7,    2.9,    1.6,    1.3,    0.0,   86.4,   73.7,   13.6,   26.3,    100,     11,      4,      5,      5,     21,      6,     20,     31,     19,      5,.,.,     53,     79,    47.9,    22.0,    62.1,    35.3,    44.4,    21.6,    57.8,    33.7,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,299741,CME ,00,099 ,   36190,       0,   16674,       0,   15304,    7273,    2243,     527,    3325,     994,       0,     771,       5,   19073,   31285,   17117,    4905,     600,    -476,    -630,       0,    -986,    1049,     -60,       0,   -1706,     962,       0,       0,       0,    -560,    -385,    1160,     985,  100.0,    0.0,   46.1,    0.0,   42.3,   20.1,    6.2,    1.5,    9.2,    2.7,    0.0,    2.1,    0.0,   52.7,   86.4,   47.3,   13.6,     24,      0,.,      0,     12,      5,      7,.,.,.,      0,.,.,     18,     15,    27.1,    61.6,    38.0,    78.1,    25.4,    58.9,    35.5,    72.9,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,399741,CME ,00,099 ,   34948,    5473,    4897,    8026,    6899,   14977,    2043,    5839,       0,     397,       0,       0,       0,   28677,   30340,    6271,    4608,    7048,      66,   -1315,    7447,   -1295,     934,     -26,     771,       0,     380,       0,       0,       0,    7343,    7420,    -295,    -372,  100.0,   15.7,   14.0,   23.0,   19.7,   42.9,    5.8,   16.7,    0.0,    1.1,    0.0,    0.0,    0.0,   82.1,   86.8,   17.9,   13.2,     21,.,.,.,      5,      9,      8,      4,      0,.,      0,      0,      0,     19,     16,    55.8,    65.2,    69.9,    79.2,    36.8,    47.7,    49.2,    55.2,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,089741,CME ,00,089 ,   32287,       0,   20417,    3122,   12376,    2949,       0,   14664,    3446,       0,     319,     100,       0,   30481,   30034,    1806,    2253,    4534,       0,    -539,    3113,    2107,    1956,       0,    -478,     257,    -456,       0,       0,       0,    4286,    4331,     248,     203,  100.0,    0.0,   63.2,    9.7,   38.3,    9.1,    0.0,   45.4,   10.7,    0.0,    1.0,    0.3,    0.0,   94.4,   93.0,    5.6,    7.0,     31,      0,      5,.,.,      6,      0,      8,      6,      0,.,.,      0,     15,     18,    70.5,    73.5,    90.4,    86.2,    70.5,    64.1,    81.9,    76.8,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,095741,CME ,00,095 ,  245043,     625,  115857,   32020,  127374,    1709,       0,   65747,   62911,    8001,    3992,   20845,     215,  237974,  241558,    7069,    3485,   24613,     475,   -4468,   28588,  -12854,    -721,       0,     548,   -8467,    6715,    1407,    3353,     215,   25094,   25215,    -481,    -602,  100.0,    0.3,   47.3,   13.1,   52.0,    0.7,    0.0,   26.8,   25.7,    3.3,    1.6,    8.5,    0.1,   97.1,   98.6,    2.9,    1.4,    135,.,     11,      5,     24,      5,      0,     45,     25,     11,      8,     12,.,     88,     64,    50.0,    49.5,    68.5,    73.3,    48.1,    39.4,    60.5,    60.7,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,102741,CME ,00,102 ,   41837,   26765,     829,       0,       0,   30070,       0,   11602,    5326,     167,    1278,    2695,       0,   39812,   39087,    2025,    2750,   -8347,    6577,   -1082,   -9810,       0,    4146,       0,   -5113,    -805,    -261,     -86,      64,       0,   -8693,   -7748,     346,    -599,  100.0,   64.0,    2.0,    0.0,    0.0,   71.9,    0.0,   27.7,   12.7,    0.4,    3.1,    6.4,    0.0,   95.2,   93.4,    4.8,    6.6,     45,.,.,      0,      0,      8,      0,     12,     13,.,      4,      4,      0,     19,     28,    78.1,    71.4,    89.7,    79.4,    77.9,    71.4,    89.6,    79.4,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,112741,CME ,00,112 ,   59669,   37059,     256,    1859,     692,   14309,       1,   14338,   29992,    2731,       0,    3231,     191,   56871,   52570,    2798,    7099,    3888,   -1786,       0,    1699,    -121,    -275,       1,    3117,    -779,     562,       0,    1888,     186,    3658,    3282,     230,     606,  100.0,   62.1,    0.4,    3.1,    1.2,   24.0,    0.0,   24.0,   50.3,    4.6,    0.0,    5.4,    0.3,   95.3,   88.1,    4.7,   11.9,    102,     11,.,.,.,     24,.,     20,     34,     12,      0,      9,.,     43,     77,    50.4,    33.6,    72.4,    47.4,    49.7,    31.5,    70.3,    44.7,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"SOUTH AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,122741,CME ,00,122 ,   13411,    3370,     428,    1222,       0,    4671,      10,    5763,    2349,    2199,     150,     180,       0,   12714,   11059,     697,    2352,    3822,    -585,     -13,    1222,       0,     883,      10,    1414,     266,    1764,       0,    -219,       0,    3825,    3913,      -3,     -91,  100.0,   25.1,    3.2,    9.1,    0.0,   34.8,    0.1,   43.0,   17.5,   16.4,    1.1,    1.3,    0.0,   94.8,   82.5,    5.2,   17.5,     30,.,.,.,      0,      5,.,      6,     10,      7,.,.,      0,     17,     22,    60.2,    39.5,    85.6,    64.6,    60.2,    33.5,    67.2,    46.8,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
