"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,090741,CME ,00,090 ,  147679,   32591,   23399,     330,   42894,   25354,    2404,   21718,   53867,    9005,    7726,    1688,     479,  117147,  116526,   30532,   31153,    2002,   -3626,    2408,    -304,    3718,   -4218,     -33,    1719,    2578,    1654,    -312,    -119,      34,    2850,    2000,    -848,       2,  100.0,   22.1,   15.8,    0.2,   29.0,   17.2,    1.6,   14.7,   36.5,    6.1,    5.2,    1.1,    0.3,   79.3,   78.9,   20.7,   21.1,    112,      8,      6,.,     11,     16,      4,     21,     39,     18,      7,      4,      5,     64,     77,    31.9,    25.8,    44.6,    37.0,    31.6,    24.8,    43.6,    34.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,092741,CME ,00,092 ,   85366,   61731,    2424,      60,    1175,   16667,     213,   12618,   42330,     450,     963,    1591,       0,   77210,   63735,    8156,   21631,   -5539,   -6002,     116,       3,      57,   -2776,       0,     635,    -621,    -494,     510,     -34,       0,   -5291,   -3806,    -248,   -1733,  100.0,   72.3,    2.8,    0.1,    1.4,   19.5,    0.2,   14.8,   49.6,    0.5,    1.1,    1.9,    0.0,   90.4,   74.7,    9.6,   25.3,     63,      7,.,.,.,     13,.,      8,     27,      6,.,.,      0,     25,     47,    69.1,    27.8,    78.7,    41.3,    69.1,    27.8,    78.4,    41.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,096742,CME ,00,096 ,  260228,  124109,    5186,    3216,   43149,   93705,    3280,   55104,   96437,    5273,    1212,    8216,     339,  235682,  215652,   24546,   44576,   -6991,     609,    -161,     665,     507,   -1482,    -155,  -10063,   -2162,    -566,    -241,    -474,      26,   -9218,   -4309,    2227,   -2682,  100.0,   47.7,    2.0,    1.2,   16.6,   36.0,    1.3,   21.2,   37.1,    2.0,    0.5,    3.2,    0.1,   90.6,   82.9,    9.4,   17.1,    128,     11,.,      4,     12,     27,      9,     23,     45,     17,      4,.,.,     61,     99,    45.8,    22.6,    59.5,    33.9,    45.6,    22.5,    58.8,    33.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,097741,CME ,00,097 ,  185082,   73192,   10986,    2592,   36341,   45488,    3973,   38592,   69591,    7394,    2373,    1901,      90,  164547,  142015,   20535,   43067,   -4616,     358,    -821,    1034,    1449,    1352,    -385,   -6214,   -6886,     723,      13,     723,     -72,   -3094,   -4332,   -1522,    -284,  100.0,   39.5,    5.9,    1.4,   19.6,   24.6,    2.1,   20.9,   37.6,    4.0,    1.3,    1.0,    0.0,   88.9,   76.7,   11.1,   23.3,    123,      9,      5,      5,     17,     22,      8,     29,     34,     18,.,      4,.,     69,     86,    33.2,    28.8,    46.1,    38.1,    32.1,    28.8,    44.2,    38.0,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,099741,CME ,00,099 ,  529124,   61976,  139448,   14057,  271226,  125907,   31316,   33041,  132771,   13587,   17982,    6892,    1139,  444324,  465117,   84800,   64007,   -3013,   -7013,    7865,    9151,   -2397,   -5054,     377,  -12287,  -14831,    5380,   -3174,    -650,     -18,   -9981,    2220,    6968,   -5233,  100.0,   11.7,   26.4,    2.7,   51.3,   23.8,    5.9,    6.2,   25.1,    2.6,    3.4,    1.3,    0.2,   84.0,   87.9,   16.0,   12.1,    276,     21,     10,     13,     87,     38,     43,     28,     59,     22,     21,     10,      6,    185,    175,    18.7,    35.9,    29.1,    47.4,    17.8,    35.4,    27.5,    45.4,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,232741,CME ,00,232 ,  141344,   85362,    5502,    4907,    6586,   35673,    1152,   20509,   49496,    2441,     943,    1155,       0,  121900,  100326,   19444,   41018,   -3955,   -8700,    2099,    3298,     391,   -3376,     -64,    1217,   -2331,    -752,    -856,      72,       0,   -5466,   -1054,    1511,   -2901,  100.0,   60.4,    3.9,    3.5,    4.7,   25.2,    0.8,   14.5,   35.0,    1.7,    0.7,    0.8,    0.0,   86.2,   71.0,   13.8,   29.0,     94,     10,      5,      5,      5,     16,      4,     14,     37,     12,.,      4,      0,     42,     73,    54.5,    21.3,    69.1,    34.2,    52.4,    21.2,    66.0,    33.7,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,299741,CME ,00,099 ,   36084,     482,   17308,       0,   16225,    6263,    2336,    1104,    6247,      84,       0,     771,       5,   20236,   33014,   15848,    3070,      27,     -15,      27,       0,    -116,      -1,      74,     -40,     -55,      83,       0,       0,       0,     -14,     128,      41,    -101,  100.0,    1.3,   48.0,    0.0,   45.0,   17.4,    6.5,    3.1,   17.3,    0.2,    0.0,    2.1,    0.0,   56.1,   91.5,   43.9,    8.5,     30,.,.,      0,     14,      5,      8,.,      5,.,      0,.,.,     23,     18,    26.4,    62.0,    37.3,    78.5,    24.7,    59.3,    35.1,    74.7,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,089741,CME ,00,089 ,   23634,       0,   17799,       9,   10259,     619,       0,   11281,    3052,     116,     450,     100,       0,   22115,   21695,    1519,    1939,    3685,       0,    3025,       0,    -425,     478,       0,    4180,     201,     -26,      40,       0,       0,    3769,    3678,     -84,       7,  100.0,    0.0,   75.3,    0.0,   43.4,    2.6,    0.0,   47.7,   12.9,    0.5,    1.9,    0.4,    0.0,   93.6,   91.8,    6.4,    8.2,     30,      0,      5,.,.,.,      0,     10,      6,.,.,.,      0,     18,     15,    70.0,    71.0,    86.2,    86.1,    69.5,    71.0,    85.7,    86.0,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,095741,CME ,00,095 ,  217019,     686,  117577,    4892,  131401,    2610,       0,   67565,   67707,    2003,    2996,   18369,       0,  209543,  213158,    7476,    3861,    3823,     136,    5761,    -169,    6835,     320,       0,   -3957,   -8499,    1139,     -74,    4587,       0,    3910,    3139,     -87,     684,  100.0,    0.3,   54.2,    2.3,   60.5,    1.2,    0.0,   31.1,   31.2,    0.9,    1.4,    8.5,    0.0,   96.6,   98.2,    3.4,    1.8,    136,.,     11,.,     22,      6,      0,     38,     35,      9,      9,     12,      0,     80,     68,    55.6,    47.9,    71.1,    71.4,    55.6,    47.9,    71.1,    69.2,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,102741,CME ,00,102 ,   46621,   21447,    1864,    6269,       0,   25519,       0,   15650,    7027,     239,    1315,    2555,       3,   44923,   43476,    1698,    3145,    9512,       0,       0,    6249,       0,    1481,       0,    2827,    1179,      88,     110,      35,       0,    9274,    9032,     238,     480,  100.0,   46.0,    4.0,   13.4,    0.0,   54.7,    0.0,   33.6,   15.1,    0.5,    2.8,    5.5,    0.0,   96.4,   93.3,    3.6,    6.7,     44,.,.,.,      0,      7,      0,     11,     14,.,      4,      4,.,     19,     30,    79.8,    69.7,    90.7,    79.2,    67.8,    58.9,    77.1,    67.0,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
