"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","090741","CME","00","090","174754","13662","80452","3434","46012","7922","3890","31555","33061","14456","20900","7136","12","133921","150363","40833","24391","1792","-155","10573","304","1525","-322","-2326","2110","135","-4905","3587","-391","-7","132","3059","1660","-1267","100.0","7.8","46.0","2.0","26.3","4.5","2.2","18.1","18.9","8.3","12.0","4.1","0.0","76.6","86.0","23.4","14.0","107","8","7","8","22","9","12","19","22","14","16","4",".","84","58","24.6","44.4","34.7","57.9","24.2","42.9","32.5","55.0","(CONTRACTS OF CAD 100,000)","090741","CME","090","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","092741","CME","00","092","53061","20931","4368","1221","1452","13702","866","16502","11287","536","931","818","0","42439","32797","10622","20264","819","-191","-106","-114","-140","2171","-27","1310","-964","-83","0","0","0","756","877","63","-58","100.0","39.4","8.2","2.3","2.7","25.8","1.6","31.1","21.3","1.0","1.8","1.5","0.0","80.0","61.8","20.0","38.2","43","4","5",".",".","13",".","8","9",".",".",".","0","19","33","56.3","25.1","68.1","33.9","55.7","25.1","67.1","33.9","(CONTRACTS OF CHF 125,000)","092741","CME","092","F10","Combined"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","096742","CME","00","096","267523","124199","5214","4701","55219","114392","7661","24645","60603","20808","5468","7966","432","243132","221776","24391","45747","24222","25006","409","358","-5015","3916","944","2739","10794","-194","1589","411","9","25437","16647","-1215","7575","100.0","46.4","1.9","1.8","20.6","42.8","2.9","9.2","22.7","7.8","2.0","3.0","0.2","90.9","82.9","9.1","17.1","138","11","7","9","14","34","13","21","43","22","4","4",".","73","111","47.5","20.9","58.6","30.7","47.3","20.7","57.8","30.5","(CONTRACTS OF GBP 62,500)","096742","CME","096","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","097741","CME","00","097","154799","8979","38105","4549","41777","34805","9765","37672","17919","16796","6061","3734","0","125600","125673","29199","29126","-8168","3553","1485","-1184","2","3398","-207","351","-2557","-6693","-139","-1548","-265","-4582","-7572","-3586","-596","100.0","5.8","24.6","2.9","27.0","22.5","6.3","24.3","11.6","10.9","3.9","2.4","0.0","81.1","81.2","18.9","18.8","116","4","10","6","29","19","15","29","19","20",".","5","0","79","78","19.0","29.4","29.1","39.4","18.4","27.9","26.7","36.6","(CONTRACTS OF JPY 12,500,000)","097741","CME","097","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","099741","CME","00","099","572518","38956","139222","11690","311492","152580","36070","26945","126234","35576","19870","10523","1051","481650","512946","90868","59572","-11125","3087","-5818","-1677","-4108","7730","748","775","5505","-11102","1976","-608","-1983","-12284","-7205","1159","-3920","100.0","6.8","24.3","2.0","54.4","26.7","6.3","4.7","22.0","6.2","3.5","1.8","0.2","84.1","89.6","15.9","10.4","287","19","12","17","91","38","51","31","52","26","26","18","12","205","188","16.3","26.6","25.8","40.2","15.8","26.4","24.7","40.0","(CONTRACTS OF EUR 125,000)","099741","CME","099","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","232741","CME","00","232","170399","65941","10614","3810","16326","43628","3712","35537","47877","10926","3581","8870","108","139940","129545","30459","40854","-6169","-5075","2772","-871","-2794","-1133","-977","855","-5152","-3300","3570","-322","-128","-8719","-9110","2550","2941","100.0","38.7","6.2","2.2","9.6","25.6","2.2","20.9","28.1","6.4","2.1","5.2","0.1","82.1","76.0","17.9","24.0","102","9","5","6","11","18","12","22","28","16",".","6",".","58","80","45.9","27.3","58.4","37.5","44.2","27.1","55.4","37.3","(CONTRACTS OF AUD 100,000)","232741","CME","232","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","299741","CME","00","099","26246","0","9719","0","9692","5727","2381","518","2200","0","0","589","2","12593","20618","13653","5628","547","0","0","0","565","-155","-20","0","428","0","0","0","0","545","253","2","294","100.0","0.0","37.0","0.0","36.9","21.8","9.1","2.0","8.4","0.0","0.0","2.2","0.0","48.0","78.6","52.0","21.4","23","0",".","0","13","4","9",".",".","0","0",".",".","19","14","19.4","54.9","31.9","73.2","16.8","51.6","28.7","67.9","(CONTRACTS OF EUR 125,000)","299741","CME","099","F10","Combined"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","399741","CME","00","099","26856","3939","4465","571","7484","11063","2295","6593","950","0","0","2537","33","20915","21914","5941","4942","1519","-13","8","-8","2","372","-8","1529","15","0","0","687","33","1535","1099","-16","420","100.0","14.7","16.6","2.1","27.9","41.2","8.5","24.5","3.5","0.0","0.0","9.4","0.1","77.9","81.6","22.1","18.4","23",".",".",".","6","8","8",".",".","0","0",".",".","18","15","49.3","44.8","67.7","66.1","49.0","40.8","63.6","59.0","(CONTRACTS OF EUR 125,000)","399741","CME","099","F10","Combined"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","089741","CME","00","089","77483","0","49510","0","69049","0","0","5576","26226","0","399","870","0","75024","76606","2459","877","771","0","129","0","855","0","0","30","698","0","0","33","0","885","860","-114","-89","100.0","0.0","63.9","0.0","89.1","0.0","0.0","7.2","33.8","0.0","0.5","1.1","0.0","96.8","98.9","3.2","1.1","41","0","7","0","10","0","0","13","7","0",".",".","0","25","16","84.3","75.0","90.7","95.1","84.3","75.0","90.7","95.1","(CONTRACTS OF RUB 2,500,000)","089741","CME","089","F15","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","095741","CME","00","095","244793","139","157067","949","140997","13207","103","91184","52208","651","3911","17952","8","237941","242145","6852","2648","8300","-1299","16830","36","741","-676","-30","8818","-5464","62","650","-2328","-9","8969","8423","-669","-123","100.0","0.1","64.2","0.4","57.6","5.4","0.0","37.2","21.3","0.3","1.6","7.3","0.0","97.2","98.9","2.8","1.1","174",".","11",".","35","8",".","54","35","10","17","13",".","114","76","46.4","61.7","61.5","75.9","46.4","61.6","61.5","75.9","(CONTRACTS OF MXN 500,000)","095741","CME","095","F15","Combined"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","102741","CME","00","102","26212","5100","3240","3626","2321","5908","0","11521","11153","420","864","544","0","23852","24891","2360","1321","4180","-316","2958","316","312","-2491","0","3531","3189","53","46","84","0","3942","4109","238","71","100.0","19.5","12.4","13.8","8.9","22.5","0.0","44.0","42.5","1.6","3.3","2.1","0.0","91.0","95.0","9.0","5.0","43",".",".",".","4","4","0","9","15",".","5",".","0","23","23","63.9","72.0","79.0","81.3","55.6","56.8","66.8","66.0","(CONTRACTS OF BRL 100,000)","102741","CME","102","F15","Combined"
"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","112741","CME","00","112","54240","39486","2554","16","2525","25161","838","5333","15911","1991","1359","1464","3","51551","47939","2689","6301","-796","-117","1213","6","-64","-2642","133","-570","-188","91","-37","24","0","-557","-1362","-239","566","100.0","72.8","4.7","0.0","4.7","46.4","1.5","9.8","29.3","3.7","2.5","2.7","0.0","95.0","88.4","5.0","11.6","85","9",".",".","6","19",".","13","26","6","4","5",".","40","55","70.1","34.9","79.1","50.1","70.1","32.2","77.5","47.2","(CONTRACTS OF NZD 100,000)","112741","CME","112","F15","Combined"
"SOUTH AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","122741","CME","00","122","20474","6115","3070","0","13152","3227","0","0","12044","0","0","120","0","19267","18461","1207","2013","2714","-1126","231","0","3751","353","0","-266","1954","0","0","0","0","2359","2538","355","176","100.0","29.9","15.0","0.0","64.2","15.8","0.0","0.0","58.8","0.0","0.0","0.6","0.0","94.1","90.2","5.9","9.8","23",".",".","0","4","5","0","0","9","0","0",".","0","6","17","92.0","42.6","94.1","68.3","92.0","42.6","94.1","68.3","(CONTRACTS OF ZAR 500,000)","122741","CME","122","F15","Combined"
"DJIA Consolidated - CHICAGO BOARD OF TRADE","190709","2019-07-09","12460+","CBT","00","124","41029","4697","24156","1275","15973","187","437","7315","3573","1499","1494","1505","0","32689","32631","8340","8398","-1877","-507","-2763","4","704","10","1","-2324","239","571","0","-10","0","-1552","-1949","-324","72","100.0","11.4","58.9","3.1","38.9","0.5","1.1","17.8","8.7","3.7","3.6","3.7","0.0","79.7","79.5","20.3","20.5","93","11","20",".","15",".","4","22","14","7",".","8","0","54","53","27.4","32.1","40.2","48.7","27.4","29.3","39.9","45.9","($10 X DJIA INDEX)","12460+","CBT","124","F20","Combined"
"DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","190709","2019-07-09","124603","CBT","00","124","82058","9394","48312","2551","31946","373","873","14629","7146","2998","2988","3010","0","65379","65262","16679","16796","-3753","-1013","-5527","8","1407","20","1","-4649","479","1141","0","-19","0","-3105","-3897","-648","144","100.0","11.4","58.9","3.1","38.9","0.5","1.1","17.8","8.7","3.7","3.6","3.7","0.0","79.7","79.5","20.3","20.5","93","11","20",".","15",".","4","22","14","7",".","8","0","54","53","27.4","32.1","40.2","48.7","27.4","29.3","39.9","45.9","($5 X DJIA INDEX)","124603","CBT","124","F20","Combined"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE","190709","2019-07-09","124606","CBT","00","124","29360","1226","24913","265","24389","31","687","450","1736","0","0","1224","0","27017","28856","2343","504","67","0","710","0","-23","-221","-56","0","-547","0","0","0","0","-79","-114","146","181","100.0","4.2","84.9","0.9","83.1","0.1","2.3","1.5","5.9","0.0","0.0","4.2","0.0","92.0","98.3","8.0","1.7","23",".","5",".","11",".",".",".",".","0","0",".","0","15","12","65.0","83.2","81.5","94.5","65.0","82.3","80.6","93.6","($100 X DJ US REAL ESTATE INDEX)","124606","CBT","124","F20","Combined"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","13874+","CME","00","138","733869","38668","118124","31538","306398","125313","61841","36780","91052","133307","18719","68092","20908","648159","650175","85709","83694","8863","-791","-1554","1473","4984","3245","25","-1945","2873","308","4050","2414","1023","9127","9807","-263","-944","100.0","5.3","16.1","4.3","41.8","17.1","8.4","5.0","12.4","18.2","2.6","9.3","2.8","88.3","88.6","11.7","11.4","602","31","38","43","165","92","116","66","108","95","49","53","52","457","451","14.5","16.1","22.8","26.7","11.6","13.9","17.2","21.1","(S&P 500 INDEX X $250.00)","13874+","CME","138","F20","Combined"
"S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","138741","CME","00","138","55974","92","13756","929","3992","1709","3978","2848","1942","17754","37","1","278","29907","40347","26067","15627","513","-188","1066","-421","427","-287","171","510","-81","710","6","-13","-14","1201","1132","-688","-619","100.0","0.2","24.6","1.7","7.1","3.1","7.1","5.1","3.5","31.7","0.1","0.0","0.5","53.4","72.1","46.6","27.9","39",".","7","5",".",".",".","10","11","21","4",".",".","35","33","27.0","38.8","41.0","50.3","10.4","22.0","12.1","28.8","(S&P 500 INDEX X $250.00)","138741","CME","138","F20","Combined"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","190709","2019-07-09","13874A","CME","00","138","3389473","203257","532212","142670","1516096","622086","285249","182276","458167","565151","93413","340452","103151","3091264","3049138","298209","340335","41751","-1279","-11363","7732","22634","17506","-580","-9772","17273","-4510","20218","12135","5182","39626","43376","2125","-1625","100.0","6.0","15.7","4.2","44.7","18.4","8.4","5.4","13.5","16.7","2.8","10.0","3.0","91.2","90.0","8.8","10.0","591","33","35","42","166","90","115","64","105","89","46","52","50","446","441","14.9","16.8","23.9","27.2","12.5","14.4","18.6","21.7","($50 X S&P 500 INDEX)","13874A","CME","138","F20","Combined"
