"WHEAT-SRW - CHICAGO BOARD OF TRADE",180731,2018-07-31,001602,CBT ,00,001 ,  650116,  149386,   97747,  222359,  240386,  275391,  612131,  595497,   37984,   54619,  583741,  141542,   96143,  196276,  213765,  247230,  551583,  539649,   32157,   44092,   66375,   19120,   12880,   14807,   26621,   28162,   60548,   55848,    5827,   10527,   50414,   19930,  -10811,   20433,    3958,   33878,   44321,   43501,    6092,    6913,  100.0,   23.0,   15.0,   34.2,   37.0,   42.4,   94.2,   91.6,    5.8,    8.4,  100.0,   24.2,   16.5,   33.6,   36.6,   42.4,   94.5,   92.4,    5.5,    7.6,  100.0,   28.8,   19.4,   22.3,   40.1,   42.4,   91.2,   84.1,    8.8,   15.9,    433,    143,    141,    165,     99,    122,    339,    341,    425,    142,    143,    157,     97,    120,    332,    329,    167,     39,     38,     33,     34,     75,     93,    130,    14.4,    11.8,    21.3,    20.0,     7.9,     6.2,    13.5,    10.8,    14.3,    12.3,    21.5,    20.8,     7.9,     6.4,    13.9,    11.4,    30.6,    18.0,    44.5,    31.3,    27.0,    14.7,    35.1,    21.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE",180731,2018-07-31,00160F,CBT ,00,001 ,   23529,    5670,     100,    1100,   16389,   21714,   23159,   22914,     370,     615,   23529,    5670,     100,    1100,   16389,   21714,   23159,   22914,     370,     615,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -774,   -3100,       0,    -100,    2236,    -592,    -964,    -692,     190,     -82,  100.0,   24.1,    0.4,    4.7,   69.7,   92.3,   98.4,   97.4,    1.6,    2.6,  100.0,   24.1,    0.4,    4.7,   69.7,   92.3,   98.4,   97.4,    1.6,    2.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      5,      1,      3,     13,     15,     20,     18,     24,      5,      1,      3,     13,     15,     20,     18,      0,      0,      0,      0,      0,      0,      0,      0,    57.5,    69.3,    79.0,    83.1,    49.4,    61.0,    65.5,    67.6,    57.5,    69.3,    79.0,    83.1,    49.4,    61.0,    65.5,    67.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"50 Metric Tons","00160F","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",180731,2018-07-31,001612,CBT ,00,001 ,  312538,   88985,   42547,   73738,  127593,  172808,  290315,  289093,   22223,   23445,  294623,   88541,   44007,   66461,  118768,  164415,  273769,  274883,   20854,   19740,   17915,    6078,    4174,    1643,    8825,    8393,   16546,   14210,    1369,    3706,    9855,    3871,  -11251,    3250,    1949,   19398,    9070,   11398,     784,   -1543,  100.0,   28.5,   13.6,   23.6,   40.8,   55.3,   92.9,   92.5,    7.1,    7.5,  100.0,   30.1,   14.9,   22.6,   40.3,   55.8,   92.9,   93.3,    7.1,    6.7,  100.0,   33.9,   23.3,    9.2,   49.3,   46.8,   92.4,   79.3,    7.6,   20.7,    285,     88,     65,     84,     90,    104,    220,    220,    280,     84,     71,     81,     86,     96,    213,    209,    128,     21,     25,     13,     26,     74,     52,    108,    11.7,    19.5,    20.0,    28.0,     9.6,    16.7,    16.8,    24.6,    12.1,    20.5,    20.9,    29.1,    10.3,    18.9,    17.7,    26.9,    37.7,    21.7,    56.5,    31.8,    36.8,    20.0,    54.6,    28.6,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",180731,2018-07-31,001626,MGE ,00,001 ,   66837,   12743,   18658,    5873,   36453,   29139,   55069,   53671,   11768,   13166,   65127,   12736,   18692,    5777,   35120,   28510,   53633,   52980,   11494,   12147,    1710,      97,      56,       6,    1333,     629,    1436,     691,     274,    1019,    1460,    3536,   -2694,    -218,   -3143,    3760,     175,     849,    1286,     612,  100.0,   19.1,   27.9,    8.8,   54.5,   43.6,   82.4,   80.3,   17.6,   19.7,  100.0,   19.6,   28.7,    8.9,   53.9,   43.8,   82.4,   81.3,   17.6,   18.7,  100.0,    5.6,    3.3,    0.4,   78.0,   36.8,   84.0,   40.4,   16.0,   59.6,     91,     22,     15,     14,     47,     37,     76,     59,     91,     22,     15,     14,     46,     37,     75,     59,     25,      3,      2,      1,      8,     13,     11,     16,    24.0,    26.9,    34.5,    43.2,    22.5,    25.4,    31.0,    40.4,    23.7,    27.6,    34.2,    44.3,    22.3,    26.1,    30.4,    41.4,    69.6,    30.2,    83.0,    36.6,    69.6,    30.2,    81.8,    36.3,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",180731,2018-07-31,002602,CBT ,00,002 , 2369980,  460004,  429224,  696215,  982588, 1007394, 2138806, 2132833,  231174,  237147,  750680,  277048,  248858,  161780,  244225,  296949,  683053,  707587,   67626,   43092, 1619301,  362094,  359505,  355296,  738363,  710444, 1455753, 1425245,  163548,  194055, -100659,   36463,  -47764,  -60155,  -75027,    9435,  -98719,  -98484,   -1939,   -2175,  100.0,   19.4,   18.1,   29.4,   41.5,   42.5,   90.2,   90.0,    9.8,   10.0,  100.0,   36.9,   33.2,   21.6,   32.5,   39.6,   91.0,   94.3,    9.0,    5.7,  100.0,   22.4,   22.2,   21.9,   45.6,   43.9,   89.9,   88.0,   10.1,   12.0,    947,    254,    165,    273,    414,    433,    793,    770,    738,    181,    120,    117,    305,    313,    530,    506,    896,    225,    169,    201,    344,    408,    672,    682,    11.2,     8.2,    17.5,    13.6,     6.0,     4.9,     9.6,     8.7,    11.5,    13.7,    20.0,    22.8,    11.4,    12.3,    18.4,    19.7,    14.8,     8.1,    21.3,    14.1,    10.5,     5.8,    15.8,    10.6,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",180731,2018-07-31,004603,CBT ,00,004 ,    5349,    1203,    1131,     190,    1616,    2150,    3010,    3471,    2340,    1878,    5349,    1203,    1131,     190,    1616,    2150,    3010,    3471,    2340,    1878,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      30,     -27,      11,     -20,     -70,    -161,    -116,    -170,     146,     200,  100.0,   22.5,   21.1,    3.5,   30.2,   40.2,   56.3,   64.9,   43.7,   35.1,  100.0,   22.5,   21.1,    3.5,   30.2,   40.2,   56.3,   64.9,   43.7,   35.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      7,      8,      3,      8,      8,     15,     19,     27,      7,      8,      3,      8,      8,     15,     19,      0,      0,      0,      0,      0,      0,      0,      0,    28.7,    36.5,    44.9,    50.8,    28.5,    31.9,    42.3,    45.7,    28.7,    36.5,    44.9,    50.8,    28.5,    31.9,    42.3,    45.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",180731,2018-07-31,005602,CBT ,00,005 , 1000785,  156680,  195603,  300573,  462936,  409147,  920189,  905323,   80596,   95462,    6662,    4689,     428,       0,     838,    4982,    5527,    5410,    1135,    1252,  994123,  156766,  199950,  295798,  462098,  404165,  914662,  899913,   79461,   94210,  -89243,    3609,   -2157,  -39877,  -51849,  -43144,  -88117,  -85178,   -1126,   -4065,  100.0,   15.7,   19.5,   30.0,   46.3,   40.9,   91.9,   90.5,    8.1,    9.5,  100.0,   70.4,    6.4,    0.0,   12.6,   74.8,   83.0,   81.2,   17.0,   18.8,  100.0,   15.8,   20.1,   29.8,   46.5,   40.7,   92.0,   90.5,    8.0,    9.5,    713,    209,    185,    248,    217,    250,    553,    578,     60,     17,      8,      0,      7,     28,     24,     36,    713,    207,    199,    239,    217,    248,    544,    576,    12.8,     9.2,    19.9,    15.6,     9.2,     6.5,    13.4,    11.6,    28.0,    49.2,    50.6,    65.5,    28.0,    49.2,    50.6,    65.5,    12.9,     9.0,    20.0,    15.5,     9.3,     6.4,    13.6,    11.5,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",180731,2018-07-31,005603,CBT ,00,005 ,   24225,   10104,    3996,     147,       8,    6948,   10259,   11091,   13966,   13134,      40,       0,       1,       0,       0,       6,       0,       7,      40,      33,   24185,   10104,    3995,     147,       8,    6942,   10259,   11084,   13926,   13101,   -1621,    -528,     550,    -405,     -50,    -834,    -983,    -689,    -638,    -932,  100.0,   41.7,   16.5,    0.6,    0.0,   28.7,   42.3,   45.8,   57.7,   54.2,  100.0,    0.0,    2.5,    0.0,    0.0,   15.0,    0.0,   17.5,  100.0,   82.5,  100.0,   41.8,   16.5,    0.6,    0.0,   28.7,   42.4,   45.8,   57.6,   54.2,     32,      2,      9,      5,      2,     21,      7,     32,      3,      0,      1,      0,      0,      2,      0,      3,     32,      2,      9,      5,      2,     21,      7,     32,    42.3,    15.9,    42.3,    24.7,    41.7,    15.8,    41.7,    24.6,     0.0,    17.5,     0.0,    17.5,     0.0,    17.5,     0.0,    17.5,    42.4,    16.0,    42.4,    24.8,    41.8,    15.8,    41.8,    24.6,"(Contracts of 1,000 Bushels)","005603","CBT ","005 "
"CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV",180731,2018-07-31,00639Y,IFED,01,006 ,   17483,     736,    3488,       0,   16707,   13979,   17443,   17467,      40,      16,   17483,     736,    3488,       0,   16707,   13979,   17443,   17467,      40,      16,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2697,     -87,       0,       0,   -2610,   -2697,   -2697,   -2697,       0,       0,  100.0,    4.2,   20.0,    0.0,   95.6,   80.0,   99.8,   99.9,    0.2,    0.1,  100.0,    4.2,   20.0,    0.0,   95.6,   80.0,   99.8,   99.9,    0.2,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      5,      4,      0,      7,      9,     12,     13,     22,      5,      4,      0,      7,      9,     12,     13,      0,      0,      0,      0,      0,      0,      0,      0,    89.5,    67.5,    98.4,    97.4,    84.2,    67.5,    93.0,    93.5,    89.5,    67.5,    98.4,    97.4,    84.2,    67.5,    93.0,    93.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 california carbon allowances","00639Y","IFED","006 "
"CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV",180731,2018-07-31,0063A2,IFED,01,006 ,   63471,    7546,   10970,    4308,   51616,   48193,   63470,   63471,       1,       0,   63471,    7546,   10970,    4308,   51616,   48193,   63470,   63471,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -991,    -756,     546,    -191,     -40,   -1346,    -987,    -991,      -4,       0,  100.0,   11.9,   17.3,    6.8,   81.3,   75.9,  100.0,  100.0,    0.0,    0.0,  100.0,   11.9,   17.3,    6.8,   81.3,   75.9,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     41,     14,      6,      9,     17,     13,     35,     24,     41,     14,      6,      9,     17,     13,     35,     24,      0,      0,      0,      0,      0,      0,      0,      0,    60.1,    48.9,    74.6,    74.4,    52.2,    45.5,    64.3,    64.7,    60.1,    48.9,    74.6,    74.4,    52.2,    45.5,    64.3,    64.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063A2","IFED","006 "
